x,y,z,rx,ry,rz,rw
0.23580482482910156,-0.09679557037353516,1.4791429443359376,0.899905473542402,0.41760191480569386,0.06398602018262801,0.1080951833350208
0.23581732177734374,-0.09682687377929687,1.479107421875,0.8999101039590047,0.417628579995909,0.06396526377847006,0.10796582326294175
0.23584327697753907,-0.09681620025634766,1.4790657958984375,0.899890358525499,0.41772163155831166,0.06396181722546704,0.1077722928137239
0.23586244201660156,-0.09677742767333984,1.4790057373046874,0.8998957359407027,0.41779636159884287,0.06376112408458731,0.1075564211285397
0.23587974548339843,-0.09676422119140625,1.478949951171875,0.8998950631483617,0.417842854377299,0.06386582498459714,0.10731906059071956
0.23589849853515626,-0.096778076171875,1.4788570556640626,0.8998891694577454,0.41787101002901,0.06391642773006992,0.10722868989319402
0.23590924072265626,-0.09676359558105468,1.4787841796875,0.8998837630392215,0.4179223199546515,0.06390621968669734,0.1070800755857401
0.23591885375976562,-0.09672486877441407,1.4786905517578126,0.8999025095039106,0.4179635234326574,0.06390394483987513,0.10676259786191473
0.2359324188232422,-0.09672673797607421,1.4786046142578124,0.8999335758799378,0.41800953466699553,0.06367924692938334,0.10645441015729092
0.23594499206542968,-0.09673224639892579,1.4785367431640626,0.8999327548550405,0.4180665599258604,0.06386347055280492,0.10612655341489967
0.23595945739746094,-0.09671540832519532,1.47848095703125,0.8999520658872292,0.41809825909221277,0.0637990857307963,0.10587635009426663
0.23598487854003908,-0.09667770385742187,1.4784191894531251,0.8999249478613078,0.4181535906719516,0.06392611847108995,0.10581169218095161
0.23600466918945312,-0.09667914581298828,1.4783846435546875,0.8998934574859175,0.41822574455095785,0.06382036400732281,0.10585817354749208
0.23603005981445313,-0.09670021057128907,1.478348876953125,0.8998884365885731,0.4182942848855821,0.06370319035534633,0.10570050361650936
0.2360409393310547,-0.09668183898925782,1.4783067626953126,0.8998822431866297,0.41833226855708266,0.0635319883664492,0.10570595033151983
0.23604049682617187,-0.09666002655029297,1.4782955322265625,0.8998884939314842,0.41838016522057236,0.06347167936939445,0.10549920264040197
0.23604200744628906,-0.09666529083251953,1.4782803955078125,0.8998747068440778,0.4184350843049763,0.06322830721278462,0.10554512481388424
0.23604031372070314,-0.09667613983154297,1.4782821044921874,0.8998775948694743,0.41843866571688854,0.06333501439559323,0.1054422744278139
0.23602622985839844,-0.09667665100097657,1.4782935791015626,0.8998740223172453,0.41847391285140134,0.06302747245986343,0.1055171357493219
