time,graphics,dynamic
1729549817.7082758,46,1000
1729549817.8263192,46,1000
1729549817.9443119,46,1000
1729549818.0563369,46,1000
1729549818.1833415,46,1000
1729549818.294342,46,1000
1729549818.4303448,46,1000
1729549818.5543747,46,1000
1729549818.6723902,46,1000
1729549818.8183749,47,1000
1729549818.9324107,47,1000
1729549819.0163753,47,1000
1729549819.1323843,47,1000
1729549819.2503927,47,1000
1729549819.3764021,47,1000
1729549819.4954128,47,1000
1729549819.589461,47,1000
1729549819.7234654,45,1000
1729549819.8544812,45,1000
1729549819.9734948,45,1000
1729549820.1084983,45,1000
1729549820.2255294,45,1000
1729549820.3475494,45,1000
1729549820.467542,45,1000
1729549820.5945544,45,1000
1729549820.721553,48,999
1729549820.8545783,48,999
1729549821.0285847,48,999
1729549821.1975904,48,999
1729549821.317605,48,999
1729549821.4526384,48,999
1729549821.6346567,48,999
1729549821.8026447,46,1000
1729549821.9636548,46,1000
1729549822.0706706,46,1000
1729549822.1476665,46,1000
1729549822.2556806,46,1000
1729549822.3656924,46,1000
1729549822.449734,46,1000
1729549822.5567427,46,1000
1729549822.6637495,46,1000
1729549822.7737286,47,1000
1729549822.8927448,47,1000
1729549823.0037608,47,1000
1729549823.1137886,47,1000
1729549823.2208133,47,1000
1729549823.3337858,47,1000
1729549823.424824,47,1000
1729549823.5368207,47,1000
1729549823.645817,47,1000
1729549823.7718365,45,1000
1729549823.881839,45,1000
1729549823.988852,45,1000
1729549824.1048634,45,1000
1729549824.2118905,45,1000
1729549824.3478997,45,1000
1729549824.4539378,45,1000
1729549824.6009295,45,1000
1729549824.7079444,48,1000
1729549824.817928,48,1000
1729549824.9289663,48,1000
1729549825.0519543,48,1000
1729549825.1679833,48,1000
1729549825.2539737,48,1000
1729549825.3679783,48,1000
1729549825.4599998,48,1000
1729549825.5790334,48,1000
1729549825.6950557,44,1000
1729549825.8246498,44,1000
1729549825.9386506,44,1000
1729549826.0166137,44,1000
1729549826.1236222,44,1000
1729549826.2316656,44,1000
1729549826.3406842,44,1000
1729549826.4716823,44,1000
1729549826.5807061,44,1000
1729549826.6917138,48,999
1729549826.798717,48,999
1729549826.9177313,48,999
1729549827.0327103,48,999
1729549827.1467378,48,999
1729549827.2657502,48,999
1729549827.3957407,48,999
1729549827.5158076,48,999
1729549827.6797965,48,999
1729549827.8147786,42,1000
1729549827.9477801,42,1000
1729549828.0648303,42,1000
1729549828.177817,42,1000
1729549828.2938483,42,1000
1729549828.408826,42,1000
1729549828.4908626,42,1000
1729549828.6038759,42,1000
1729549828.7238994,46,1000
1729549828.8478692,46,1000
1729549828.965899,46,1000
1729549829.0799074,46,1000
1729549829.2028992,46,1000
1729549829.3199322,46,1000
1729549829.4449353,46,1000
1729549829.585922,46,1000
1729549829.7169452,41,1000
1729549829.8309782,41,1000
1729549829.9479716,41,1000
1729549830.0700378,41,1000
1729549830.2002273,41,1000
1729549830.3736186,41,1000
1729549830.5057282,41,1000
1729549830.6267183,41,1000
1729549830.7717462,48,997
1729549830.8917785,48,997
1729549831.0278027,48,997
1729549831.191797,48,997
1729549831.3588402,48,997
1729549831.4838471,48,997
1729549831.5938666,48,997
1729549831.7098672,44,1000
1729549831.7888613,44,1000
1729549831.9129076,44,1000
1729549831.9978774,44,1000
1729549832.1068904,44,1000
1729549832.2049012,44,1000
1729549832.3369277,44,1000
1729549832.4519484,44,1000
1729549832.5629423,44,1000
1729549832.6789534,44,1000
1729549832.77194,41,1000
1729549832.867981,41,1000
1729549832.9810064,41,1000
1729549833.1089866,41,1000
1729549833.2340152,41,1000
1729549833.3579886,41,1000
1729549833.4872556,41,1000
1729549833.6033244,41,1000
1729549833.7303565,39,1000
1729549833.8574238,39,1000
1729549833.9834275,39,1000
1729549834.102461,39,1000
1729549834.2114787,39,1000
1729549834.2954783,39,1000
1729549834.4075015,39,1000
1729549834.520478,39,1000
1729549834.6425052,39,1000
1729549834.7694979,40,1000
1729549834.9445233,40,1000
1729549835.1405475,40,1000
1729549835.2835567,40,1000
1729549835.392579,40,1000
1729549835.5045815,40,1000
1729549835.6306074,40,1000
1729549835.7486138,45,999
1729549835.8326247,45,999
1729549835.9436257,45,999
1729549836.0577252,45,999
1729549836.1788683,45,999
1729549836.2828596,45,999
1729549836.3718498,45,999
1729549836.4908595,45,999
1729549836.5958626,45,999
1729549836.7098684,47,1000
1729549836.7898881,47,1000
1729549836.9279108,47,1000
1729549837.0789323,47,1000
1729549837.2139397,47,1000
1729549837.3229613,47,1000
1729549837.4319708,47,1000
1729549837.5399327,47,1000
1729549837.6549783,47,1000
1729549837.7630026,49,1000
1729549837.8690293,49,1000
1729549837.993013,49,1000
1729549838.1000237,49,1000
1729549838.2080507,49,1000
1729549838.3153849,49,1000
1729549838.424674,49,1000
1729549838.5447128,49,1000
1729549838.6507177,49,1000
1729549838.7377272,46,999
1729549838.848739,46,999
1729549838.9357474,46,999
1729549839.0507889,46,999
1729549839.1327589,46,999
1729549839.2377636,46,999
1729549839.3458078,46,999
1729549839.4598186,46,999
1729549839.5708373,46,999
1729549839.6728575,46,999
1729549839.7888262,43,1000
1729549839.894836,43,1000
1729549839.9998653,43,1000
1729549840.1028743,43,1000
1729549840.2278855,43,1000
1729549840.3398776,43,1000
1729549840.4568844,43,1000
1729549840.5389144,43,1000
1729549840.6598957,43,1000
1729549840.7889159,41,1000
1729549840.8979213,41,1000
1729549841.0089452,41,1000
1729549841.1289258,41,1000
1729549841.2353063,41,1000
1729549841.3383372,41,1000
1729549841.4473357,41,1000
1729549841.5613241,41,1000
1729549841.6733377,41,1000
1729549841.782345,46,1000
1729549841.8643637,46,1000
1729549841.9753916,46,1000
1729549842.0943751,46,1000
1729549842.2053857,46,1000
1729549842.3194108,46,1000
1729549842.4274294,46,1000
1729549842.5324419,46,1000
1729549842.6374495,46,1000
1729549842.7494483,47,1000
1729549842.8284335,47,1000
1729549842.9414713,47,1000
1729549843.0454648,47,1000
1729549843.155486,47,1000
1729549843.2344575,47,1000
1729549843.3544679,47,1000
1729549843.433482,47,1000
1729549843.5415184,47,1000
1729549843.661526,47,1000
1729549843.769527,45,1000
1729549843.8815389,45,1000
1729549844.0125263,45,1000
1729549844.1215632,45,1000
1729549844.1985664,45,1000
1729549844.3095508,45,1000
1729549844.4575777,45,1000
1729549844.5505552,45,1000
1729549844.6665578,45,1000
1729549844.7719123,48,999
1729549844.8769183,48,999
1729549844.968941,48,999
1729549845.087944,48,999
1729549845.1819937,48,999
1729549845.302994,48,999
1729549845.4490025,48,999
1729549845.562995,48,999
1729549845.6700304,48,999
1729549845.7740445,44,1000
1729549845.8850152,44,1000
1729549846.0330703,44,1000
1729549846.142059,44,1000
1729549846.2620604,44,1000
1729549846.3690689,44,1000
1729549846.4850862,44,1000
1729549846.6020956,44,1000
1729549846.7550743,41,1000
1729549846.9124029,41,1000
1729549847.0344303,41,1000
1729549847.1704354,41,1000
1729549847.290442,41,1000
1729549847.4394631,41,1000
1729549847.5424569,41,1000
1729549847.6474411,41,1000
1729549847.7464857,40,1000
1729549847.8634777,40,1000
1729549847.9714994,40,1000
1729549848.0755618,40,1000
1729549848.2035801,40,1000
1729549848.3466115,40,1000
1729549848.4476213,40,1000
1729549848.554648,40,1000
1729549848.6656516,40,1000
1729549848.7676566,41,999
1729549848.8856504,41,999
1729549848.9896867,41,999
1729549849.0656533,41,999
1729549849.1746664,41,999
1729549849.2796671,41,999
1729549849.382724,41,999
1729549849.4877148,41,999
1729549849.5927255,41,999
1729549849.6686969,41,999
1729549849.7737117,45,1000
1729549849.8847225,45,1000
1729549850.0107374,45,1000
1729549850.1307538,45,1000
1729549850.247767,45,1000
1729549850.3607843,45,1000
1729549850.4558196,45,1000
1729549850.5648108,45,1000
1729549850.6758397,45,1000
1729549850.7798328,45,1000
1729549850.8838406,45,1000
1729549851.0339613,45,1000
1729549851.151957,45,1000
1729549851.2619677,45,1000
1729549851.3669682,45,1000
1729549851.4699814,45,1000
1729549851.5719864,45,1000
1729549851.6769958,45,1000
1729549851.7780006,44,1000
1729549851.8820384,44,1000
1729549852.0000293,44,1000
1729549852.1100764,44,1000
1729549852.2120864,44,1000
1729549852.3221312,44,1000
1729549852.4341123,44,1000
1729549852.5451338,44,1000
1729549852.6461563,44,1000
1729549852.76113,48,1000
1729549852.873183,48,1000
1729549852.997159,48,1000
1729549853.1541934,48,1000
1729549853.2712233,48,1000
1729549853.3852322,48,1000
1729549853.4962208,48,1000
1729549853.5742192,48,1000
1729549853.6902597,47,1000
1729549853.7993433,47,1000
1729549853.882323,47,1000
1729549853.996333,47,1000
1729549854.0833719,47,1000
1729549854.198363,47,1000
1729549854.3113847,47,1000
1729549854.4163938,47,1000
1729549854.5254135,47,1000
1729549854.6324234,47,1000
1729549854.710384,46,1000
1729549854.815398,46,1000
1729549854.9234128,46,1000
1729549855.0084443,46,1000
1729549855.1494396,46,1000
1729549855.2604363,46,1000
1729549855.3734484,46,1000
1729549855.49149,46,1000
1729549855.5974567,46,1000
1729549855.7114806,46,1000
1729549855.8175187,46,1000
1729549855.9195242,46,1000
1729549856.022568,46,1000
1729549856.128517,46,1000
1729549856.2355506,46,1000
1729549856.3225226,46,1000
1729549856.441552,46,1000
1729549856.5505567,46,1000
1729549856.6565633,46,1000
1729549856.7615695,44,999
1729549856.8875973,44,999
1729549856.9986076,44,999
1729549857.1156209,44,999
1729549857.2316127,44,999
1729549857.368603,44,999
1729549857.478623,44,999
1729549857.5836456,44,999
1729549857.7146366,48,999
1729549857.8467743,48,999
1729549857.948795,48,999
1729549858.0527673,48,999
1729549858.1648154,48,999
1729549858.2787986,48,999
1729549858.3918107,48,999
1729549858.5017865,48,999
1729549858.5848005,48,999
1729549858.7038023,45,1000
1729549858.824814,45,1000
1729549858.9368243,45,1000
1729549859.0428388,45,1000
1729549859.1508465,45,1000
1729549859.2728558,45,1000
1729549859.3898716,45,1000
1729549859.4998765,45,1000
1729549859.580891,45,1000
1729549859.684918,45,1000
1729549859.8329477,46,1000
1729549859.940934,46,1000
1729549860.0319316,46,1000
1729549860.1359756,46,1000
1729549860.2379513,46,1000
1729549860.3209546,46,1000
1729549860.4289658,46,1000
1729549860.5439737,46,1000
1729549860.6640084,46,1000
1729549860.771036,45,1000
1729549860.8509989,45,1000
1729549860.965014,45,1000
1729549861.050045,45,1000
1729549861.1600227,45,1000
1729549861.2780378,45,1000
1729549861.3820822,45,1000
1729549861.487096,45,1000
1729549861.6010668,45,1000
1729549861.7091024,47,1000
1729549861.7911143,47,1000
1729549861.89709,47,1000
1729549862.0181012,47,1000
1729549862.1291127,47,1000
1729549862.2381213,47,1000
1729549862.3171377,47,1000
1729549862.4255683,47,1000
1729549862.5385606,47,1000
1729549862.6215637,47,1000
1729549862.737576,48,999
1729549862.8195994,48,999
1729549862.9326222,48,999
1729549863.0396287,48,999
1729549863.1156313,48,999
1729549863.2206364,48,999
1729549863.3416445,48,999
1729549863.4536698,48,999
1729549863.5596774,48,999
1729549863.680672,48,999
1729549863.7926872,48,1000
1729549863.9176865,48,1000
1729549864.0306954,48,1000
1729549864.1366923,48,1000
1729549864.2507093,48,1000
1729549864.3737617,48,1000
1729549864.5237622,48,1000
1729549864.6247907,48,1000
1729549864.7267456,45,1000
1729549864.8337576,45,1000
1729549864.9387882,45,1000
1729549865.042811,45,1000
1729549865.120784,45,1000
1729549865.2267907,45,1000
1729549865.3418043,45,1000
1729549865.4478142,45,1000
1729549865.5518222,45,1000
1729549865.6578295,45,1000
1729549865.7718449,47,1000
1729549865.8988545,47,1000
1729549866.002905,47,1000
1729549866.1079192,47,1000
1729549866.2119534,47,1000
1729549866.2929304,47,1000
1729549866.3969433,47,1000
1729549866.5019448,47,1000
1729549866.602968,47,1000
1729549866.7060094,44,1000
1729549866.8099825,44,1000
1729549866.885982,44,1000
1729549866.9869885,44,1000
1729549867.0959997,44,1000
1729549867.2100096,44,1000
1729549867.2890613,44,1000
1729549867.39506,44,1000
1729549867.502068,44,1000
1729549867.6100683,44,1000
1729549867.7260737,47,1000
1729549867.8330953,47,1000
1729549867.9421065,47,1000
1729549868.04511,47,1000
1729549868.1210876,47,1000
1729549868.2290957,47,1000
1729549868.3291073,47,1000
1729549868.4391158,47,1000
1729549868.5201564,47,1000
1729549868.6271558,47,1000
1729549868.7331724,48,1000
1729549868.8431878,48,1000
1729549868.9291682,48,1000
1729549869.048227,48,1000
1729549869.1221845,48,1000
1729549869.2271957,48,1000
1729549869.3282068,48,1000
1729549869.4302528,48,1000
1729549869.535268,48,1000
1729549869.6362734,48,1000
1729549869.7412694,46,1000
1729549869.8443098,46,1000
1729549869.9183743,46,1000
1729549870.0333698,46,1000
1729549870.1344044,46,1000
1729549870.2413769,46,1000
1729549870.3494205,46,1000
1729549870.4303927,46,1000
1729549870.549437,46,1000
1729549870.6284075,46,1000
1729549870.7364175,50,1000
1729549870.83846,50,1000
1729549870.9534562,50,1000
1729549871.081471,50,1000
1729549871.186463,50,1000
1729549871.2994995,50,1000
1729549871.4154778,50,1000
1729549871.4984806,50,1000
1729549871.6014893,50,1000
1729549871.7025328,47,1000
1729549871.813546,47,1000
1729549871.915537,47,1000
1729549872.0205965,47,1000
1729549872.0965488,47,1000
1729549872.1985579,47,1000
1729549872.3015575,47,1000
1729549872.4075675,47,1000
1729549872.5156033,47,1000
1729549872.6335995,47,1000
1729549872.7556093,47,999
1729549872.8696353,47,999
1729549872.9786494,47,999
1729549873.1306694,47,999
1729549873.2386644,47,999
1729549873.3646662,47,999
1729549873.4767,47,999
1729549873.603705,47,999
1729549873.7186944,47,1000
1729549873.8057082,47,1000
1729549873.9357033,47,1000
1729549874.037715,47,1000
1729549874.1457255,47,1000
1729549874.2397604,47,1000
1729549874.3437638,47,1000
1729549874.447783,47,1000
1729549874.5517848,47,1000
1729549874.6317542,47,1000
1729549874.7377613,41,1000
1729549874.8397708,41,1000
1729549874.9417744,41,1000
1729549875.0478072,41,1000
1729549875.16484,41,1000
1729549875.282859,41,1000
1729549875.3978555,41,1000
1729549875.513884,41,1000
1729549875.6278813,41,1000
1729549875.7779233,46,1000
1729549875.8919375,46,1000
1729549876.0009365,46,1000
1729549876.1279378,46,1000
1729549876.2429662,46,1000
1729549876.3479629,46,1000
1729549876.4649415,46,1000
1729549876.5819519,46,1000
1729549876.6989598,44,1000
1729549876.809963,44,1000
1729549876.9139814,44,1000
1729549877.023006,44,1000
1729549877.0949843,44,1000
1729549877.200998,44,1000
1729549877.3069985,44,1000
1729549877.4160054,44,1000
1729549877.497048,44,1000
1729549877.6130412,44,1000
1729549877.7180684,50,1000
1729549877.8290834,50,1000
1729549877.9390516,50,1000
1729549878.057063,50,1000
1729549878.1631045,50,1000
1729549878.2711153,50,1000
1729549878.44737,50,1000
1729549878.5654109,50,1000
1729549878.6724591,50,1000
1729549878.774455,48,1000
1729549878.8794527,48,1000
1729549878.9824636,48,1000
1729549879.0554721,48,1000
1729549879.132434,48,1000
1729549879.2384408,48,1000
1729549879.3414567,48,1000
1729549879.4544613,48,1000
1729549879.5614645,48,1000
1729549879.6775243,48,1000
1729549879.7895284,45,999
1729549879.8685677,45,999
1729549879.9695766,45,999
1729549880.073603,45,999
1729549880.1795902,45,999
1729549880.2965865,45,999
1729549880.3986077,45,999
1729549880.5036373,45,999
1729549880.6056397,45,999
1729549880.7156456,45,1000
1729549880.8236568,45,1000
1729549880.8966708,45,1000
1729549880.981634,45,1000
1729549881.0926466,45,1000
1729549881.1720207,45,1000
1729549881.2830508,45,1000
1729549881.3890247,45,1000
1729549881.4950562,45,1000
1729549881.5690353,45,1000
1729549881.6700535,45,1000
1729549881.7720525,47,1000
1729549881.8800633,47,1000
1729549881.9911902,47,1000
1729549882.075242,47,1000
1729549882.2022226,47,1000
1729549882.325259,47,1000
1729549882.4372647,47,1000
1729549882.5512588,47,1000
1729549882.6892624,49,1000
1729549882.8032625,49,1000
1729549882.9193022,49,1000
1729549883.0353575,49,1000
1729549883.1623685,49,1000
1729549883.2423677,49,1000
1729549883.35039,49,1000
1729549883.4584394,49,1000
1729549883.5784395,49,1000
1729549883.6904757,51,1000
1729549883.7975073,51,1000
1729549883.8814638,51,1000
1729549883.9994826,51,1000
1729549884.1114929,51,1000
1729549884.2195036,51,1000
1729549884.3275473,51,1000
1729549884.4335597,51,1000
1729549884.5545413,51,1000
1729549884.669544,51,1000
1729549884.7815676,44,999
1729549884.8915758,44,999
1729549885.0125837,44,999
1729549885.1195817,44,999
